name,year,value
High fasting plasma glucose,1993,2904.6
High systolic blood pressure,1993,3318.3
Unsafe sex,1993,19.1
Tobacco,1994,10.8
Alcohol use,1994,47.4
Drug use,1994,12.7
Low bone mineral density,1994,184.4
Occupational risks,1994,395.6
Intimate partner violence,1994,8.8
Impaired kidney function,1993,1266.7
High LDL cholesterol,1993,1435.8
Childhood maltreatment,1993,55.3
Tobacco,1993,10.9
Alcohol use,1993,50.2
Drug use,1993,12.7
Low bone mineral density,1993,185.9
Occupational risks,1993,424.1
Intimate partner violence,1993,8.9
High body-mass index,1993,2692.3
Dietary risks,1993,3437.1
Low physical activity,1993,578.8
Unsafe sex,1995,18.1
Impaired kidney function,1995,1249.3
High LDL cholesterol,1995,1435.7
Childhood maltreatment,1995,56.7
"Unsafe water, sanitation, and handwashing",1992,738.4
Air pollution,1992,375.2
Child and maternal malnutrition,1992,4961.8
Tobacco,1992,159.6
Air pollution,1995,1319.3
Other environmental risks,1995,411.5
Child and maternal malnutrition,1995,6.1
Tobacco,1995,1171.5
Alcohol use,1995,104.0
Drug use,1995,560.6
High fasting plasma glucose,1995,2903.0
High systolic blood pressure,1995,3271.0
Occupational risks,1993,321.2
Intimate partner violence,1993,24.6
Alcohol use,1995,12.6
Drug use,1995,5.2
High fasting plasma glucose,1995,38.6
Intimate partner violence,1995,2.1
Unsafe sex,1995,43.5
High body-mass index,1992,2694.9
Dietary risks,1992,3479.2
Low physical activity,1992,584.1
Occupational risks,1992,325.1
Intimate partner violence,1992,24.7
Tobacco,1995,10.6
Alcohol use,1995,45.3
Drug use,1995,12.8
Low bone mineral density,1995,181.1
Occupational risks,1995,373.9
Intimate partner violence,1995,8.7
"Unsafe water, sanitation, and handwashing",1993,645.0
Air pollution,1993,357.1
Child and maternal malnutrition,1993,4689.7
Tobacco,1993,151.2
Air pollution,1996,1317.1
Other environmental risks,1996,406.2
Unsafe sex,1996,17.7
Impaired kidney function,1996,1242.1
High LDL cholesterol,1996,1435.4
Childhood maltreatment,1996,57.4
Unsafe sex,1994,18.6
Impaired kidney function,1994,1255.5
High LDL cholesterol,1994,1434.3
Childhood maltreatment,1994,55.9
Air pollution,1994,1338.3
Other environmental risks,1994,416.5
Child and maternal malnutrition,1994,6.2
Tobacco,1994,1184.3
Alcohol use,1994,107.8
Drug use,1994,556.4
High fasting plasma glucose,1994,2899.4
High systolic blood pressure,1994,3291.3
Alcohol use,1994,14.2
Drug use,1994,4.8
High fasting plasma glucose,1994,40.2
Intimate partner violence,1994,2.0
Unsafe sex,1994,41.5
Tobacco,1996,10.6
Alcohol use,1996,43.8
Drug use,1996,12.8
Low bone mineral density,1996,179.2
Occupational risks,1996,352.8
Intimate partner violence,1996,8.7
Child and maternal malnutrition,1996,5.9
Tobacco,1996,1158.2
Alcohol use,1996,101.3
Drug use,1996,564.4
High fasting plasma glucose,1996,2913.6
High systolic blood pressure,1996,3248.8
High body-mass index,1995,2713.1
Dietary risks,1995,3369.5
Low physical activity,1995,569.4
High body-mass index,1994,2698.0
Dietary risks,1994,3396.6
Low physical activity,1994,573.6
Occupational risks,1994,317.4
Intimate partner violence,1994,24.6
Occupational risks,1995,313.8
Intimate partner violence,1995,24.6
Unsafe sex,1998,17.4
Impaired kidney function,1998,1231.5
High LDL cholesterol,1998,1436.5
Childhood maltreatment,1998,59.0
High body-mass index,1996,2738.9
Dietary risks,1996,3339.9
Low physical activity,1996,565.3
Occupational risks,1996,310.1
Intimate partner violence,1996,24.7
Alcohol use,1996,11.4
Drug use,1996,5.6
High fasting plasma glucose,1996,37.3
Intimate partner violence,1996,2.2
Unsafe sex,1996,45.5
Unsafe sex,1997,17.5
Impaired kidney function,1997,1235.8
High LDL cholesterol,1997,1433.3
Childhood maltreatment,1997,58.2
Tobacco,1998,10.7
Alcohol use,1998,41.2
Drug use,1998,13.3
Low bone mineral density,1998,176.3
Occupational risks,1998,316.8
Intimate partner violence,1998,8.5
"Unsafe water, sanitation, and handwashing",1995,501.8
Air pollution,1995,321.0
Child and maternal malnutrition,1995,4215.6
Tobacco,1995,136.4
Alcohol use,1998,9.5
Drug use,1998,6.4
High fasting plasma glucose,1998,35.6
Intimate partner violence,1998,2.4
Unsafe sex,1998,49.8
Air pollution,1998,1310.6
Other environmental risks,1998,394.8
Tobacco,1997,10.6
Alcohol use,1997,43.1
Drug use,1997,13.2
Low bone mineral density,1997,177.6
Occupational risks,1997,333.0
Intimate partner violence,1997,8.6
Alcohol use,1997,10.3
Drug use,1997,6.0
High fasting plasma glucose,1997,36.3
Intimate partner violence,1997,2.3
Unsafe sex,1997,47.6
Air pollution,1997,1313.2
Other environmental risks,1997,400.0
Child and maternal malnutrition,1997,5.7
Tobacco,1997,1143.9
Alcohol use,1997,98.9
Drug use,1997,568.5
High fasting plasma glucose,1997,2936.1
High systolic blood pressure,1997,3226.8
Child and maternal malnutrition,1998,5.5
Tobacco,1998,1133.4
Alcohol use,1998,96.6
Drug use,1998,572.9
High fasting plasma glucose,1998,2968.3
High systolic blood pressure,1998,3213.3
"Unsafe water, sanitation, and handwashing",1994,565.2
Air pollution,1994,338.5
Child and maternal malnutrition,1994,4425.1
Tobacco,1994,143.3
Impaired kidney function,1999,1230.8
High LDL cholesterol,1999,1444.8
Childhood maltreatment,1999,59.8
High body-mass index,1997,2777.7
Dietary risks,1997,3312.1
Low physical activity,1997,561.2
Occupational risks,1997,306.7
Intimate partner violence,1997,24.8
High body-mass index,1998,2828.0
Dietary risks,1998,3297.2
Low physical activity,1998,559.2
Occupational risks,1998,303.8
Intimate partner violence,1998,24.9
Tobacco,1999,10.8
Alcohol use,1999,40.5
Drug use,1999,13.4
Low bone mineral density,1999,174.6
Occupational risks,1999,302.0
Intimate partner violence,1999,8.5
Unsafe sex,2000,17.7
Impaired kidney function,2000,1235.3
High LDL cholesterol,2000,1462.5
Childhood maltreatment,2000,60.6
Unsafe sex,1999,17.4
Alcohol use,2000,8.4
Drug use,2000,7.3
High fasting plasma glucose,2000,34.1
Intimate partner violence,2000,2.7
Unsafe sex,2000,54.5
Air pollution,2000,1303.3
Other environmental risks,2000,389.0
Tobacco,2000,10.9
Alcohol use,2000,39.9
Drug use,2000,13.5
Low bone mineral density,2000,173.7
Occupational risks,2000,287.9
Intimate partner violence,2000,8.5
Air pollution,1999,1307.0
Other environmental risks,1999,391.1
Child and maternal malnutrition,1999,5.3
Tobacco,1999,1126.5
Alcohol use,1999,94.9
Drug use,1999,577.2
High fasting plasma glucose,1999,3003.8
High systolic blood pressure,1999,3213.2
Child and maternal malnutrition,2000,5.1
Tobacco,2000,1127.1
Alcohol use,2000,93.3
Drug use,2000,580.7
High fasting plasma glucose,2000,3048.3
High systolic blood pressure,2000,3228.5
Alcohol use,1999,8.9
Drug use,1999,6.9
High fasting plasma glucose,1999,34.9
Intimate partner violence,1999,2.5
Unsafe sex,1999,52.1
"Unsafe water, sanitation, and handwashing",1997,394.3
Air pollution,1997,304.0
"Unsafe water, sanitation, and handwashing",1996,443.0
Air pollution,1996,312.7
Child and maternal malnutrition,1996,3991.7
Tobacco,1996,130.1
"Unsafe water, sanitation, and handwashing",1998,355.8
Air pollution,1998,295.4
Child and maternal malnutrition,1998,3573.3
Tobacco,1998,119.6
Child and maternal malnutrition,1997,3773.5
Tobacco,1997,124.4
Unsafe sex,2001,17.8
Impaired kidney function,2001,1244.5
High LDL cholesterol,2001,1481.0
Childhood maltreatment,2001,61.5
Unsafe sex,2002,18.6
Impaired kidney function,2002,1288.6
High LDL cholesterol,2002,1547.1
Childhood maltreatment,2002,62.4
Alcohol use,2002,8.0
Drug use,2002,8.3
High fasting plasma glucose,2002,34.1
Intimate partner violence,2002,3.0
Unsafe sex,2002,59.5
Air pollution,2002,1330.8
Other environmental risks,2002,394.9
Child and maternal malnutrition,2002,4.9
Tobacco,2002,1150.8
Alcohol use,2002,92.9
Drug use,2002,583.8
High fasting plasma glucose,2002,3196.4
High systolic blood pressure,2002,3359.3
Tobacco,2002,11.3
Alcohol use,2002,40.5
Drug use,2002,13.8
Low bone mineral density,2002,177.5
Occupational risks,2002,261.5
Intimate partner violence,2002,8.6
High body-mass index,2000,2936.6
Dietary risks,2000,3312.8
Low physical activity,2000,562.9
Occupational risks,2000,300.0
Intimate partner violence,2000,25.1
Tobacco,2001,11.0
Alcohol use,2001,39.6
Drug use,2001,13.5
Low bone mineral density,2001,174.0
Occupational risks,2001,275.0
Intimate partner violence,2001,8.5
Alcohol use,2001,8.1
Drug use,2001,7.8
High fasting plasma glucose,2001,33.5
Intimate partner violence,2001,2.8
Unsafe sex,2001,57.0
Air pollution,2001,1297.7
Other environmental risks,2001,386.7
Child and maternal malnutrition,2001,5.0
Tobacco,2001,1122.5
Alcohol use,2001,93.0
Drug use,2001,580.4
High fasting plasma glucose,2001,3072.2
High systolic blood pressure,2001,3244.3
Occupational risks,1999,301.5
Intimate partner violence,1999,25.0
High body-mass index,1999,2880.3
Dietary risks,1999,3293.7
Low physical activity,1999,559.4
"Unsafe water, sanitation, and handwashing",2000,301.1
Air pollution,2000,275.4
Child and maternal malnutrition,2000,3177.0
Tobacco,2000,111.8
"Unsafe water, sanitation, and handwashing",1999,328.0
Air pollution,1999,286.6
Impaired kidney function,2003,1305.5
High LDL cholesterol,2003,1595.2
Childhood maltreatment,2003,63.3
Unsafe sex,2003,18.7
Tobacco,2003,11.6
Alcohol use,2003,40.8
Drug use,2003,13.9
Low bone mineral density,2003,177.6
Occupational risks,2003,248.9
Intimate partner violence,2003,8.6
Child and maternal malnutrition,1999,3367.0
Tobacco,1999,115.6
Alcohol use,2003,7.9
Drug use,2003,8.7
High fasting plasma glucose,2003,34.3
Intimate partner violence,2003,3.1
Unsafe sex,2003,61.9
High body-mass index,2001,2970.5
Dietary risks,2001,3325.4
Low physical activity,2001,566.5
High body-mass index,2002,3088.2
Dietary risks,2002,3446.6
Low physical activity,2002,588.2
Occupational risks,2002,298.4
Intimate partner violence,2002,25.3
Air pollution,2003,1351.0
Other environmental risks,2003,398.7
Child and maternal malnutrition,2003,4.7
Tobacco,2003,1178.4
Alcohol use,2003,91.3
Drug use,2003,584.4
High fasting plasma glucose,2003,3287.7
High systolic blood pressure,2003,3426.3
Alcohol use,2004,7.6
Drug use,2004,9.1
High fasting plasma glucose,2004,33.3
Intimate partner violence,2004,3.2
Unsafe sex,2004,63.8
Unsafe sex,2004,18.5
Impaired kidney function,2004,1302.1
High LDL cholesterol,2004,1649.5
Childhood maltreatment,2004,64.0
Occupational risks,2001,297.8
Intimate partner violence,2001,25.2
Tobacco,2004,11.9
Alcohol use,2004,40.5
Drug use,2004,14.1
Low bone mineral density,2004,177.6
Occupational risks,2004,237.2
Intimate partner violence,2004,8.5
Air pollution,2004,1366.7
Other environmental risks,2004,400.9
Child and maternal malnutrition,2004,4.4
Tobacco,2004,1203.8
Alcohol use,2004,89.2
Drug use,2004,579.0
High fasting plasma glucose,2004,3349.0
High systolic blood pressure,2004,3474.2
"Unsafe water, sanitation, and handwashing",2001,281.0
Air pollution,2001,267.0
Tobacco,2005,12.0
Alcohol use,2005,41.0
Drug use,2005,14.4
Low bone mineral density,2005,177.6
Occupational risks,2005,227.4
Intimate partner violence,2005,8.5
Child and maternal malnutrition,2001,3011.1
Tobacco,2001,107.5
"Unsafe water, sanitation, and handwashing",2002,263.8
Air pollution,2002,265.7
Child and maternal malnutrition,2002,2848.2
Tobacco,2002,107.0
Unsafe sex,2005,18.5
Impaired kidney function,2005,1318.8
High LDL cholesterol,2005,1742.3
Childhood maltreatment,2005,64.8
Unsafe sex,2006,18.5
Impaired kidney function,2006,1337.8
High LDL cholesterol,2006,1808.0
Childhood maltreatment,2006,65.5
Air pollution,2006,1440.5
Other environmental risks,2006,414.4
Alcohol use,2006,7.0
Drug use,2006,9.6
High fasting plasma glucose,2006,30.8
Intimate partner violence,2006,3.4
Unsafe sex,2006,66.3
Alcohol use,2005,7.4
Drug use,2005,9.4
High fasting plasma glucose,2005,32.5
Intimate partner violence,2005,3.3
Unsafe sex,2005,65.3
Child and maternal malnutrition,2006,3.8
Tobacco,2006,1285.5
Alcohol use,2006,86.1
Drug use,2006,586.4
High fasting plasma glucose,2006,3524.5
High systolic blood pressure,2006,3636.7
Tobacco,2007,12.4
Alcohol use,2007,40.7
Drug use,2007,15.2
Low bone mineral density,2007,178.7
Occupational risks,2007,208.5
Intimate partner violence,2007,8.4
"Unsafe water, sanitation, and handwashing",2003,247.3
Air pollution,2003,260.2
Air pollution,2005,1403.2
Other environmental risks,2005,409.1
Child and maternal malnutrition,2005,4.1
Tobacco,2005,1250.6
Alcohol use,2005,87.8
Drug use,2005,579.0
High fasting plasma glucose,2005,3446.7
High systolic blood pressure,2005,3566.8
Tobacco,2006,12.4
Alcohol use,2006,40.9
Drug use,2006,14.7
Low bone mineral density,2006,179.9
Occupational risks,2006,216.6
Intimate partner violence,2006,8.4
Occupational risks,2003,300.0
Intimate partner violence,2003,25.4
Child and maternal malnutrition,2003,2668.4
Tobacco,2003,105.5
High body-mass index,2003,3171.8
Dietary risks,2003,3526.6
Low physical activity,2003,601.0
High body-mass index,2004,3233.5
Dietary risks,2004,3597.4
Low physical activity,2004,613.8
Occupational risks,2004,300.7
Intimate partner violence,2004,25.5
Impaired kidney function,2007,1348.0
High LDL cholesterol,2007,1846.9
Childhood maltreatment,2007,66.1
Alcohol use,2007,6.8
Drug use,2007,9.7
High fasting plasma glucose,2007,29.8
Intimate partner violence,2007,3.4
Unsafe sex,2007,66.8
Air pollution,2008,1493.4
Other environmental risks,2008,419.3
Unsafe sex,2007,18.5
Child and maternal malnutrition,2008,3.2
Tobacco,2008,1353.8
Alcohol use,2008,87.6
Drug use,2008,630.0
High fasting plasma glucose,2008,3664.1
High systolic blood pressure,2008,3724.2
Alcohol use,2008,6.6
Drug use,2008,9.7
High fasting plasma glucose,2008,29.1
Intimate partner violence,2008,3.3
Unsafe sex,2008,67.0
Unsafe sex,2008,18.5
Impaired kidney function,2008,1360.9
High LDL cholesterol,2008,1889.6
Childhood maltreatment,2008,66.7
"Unsafe water, sanitation, and handwashing",2004,230.3
Air pollution,2004,252.5
Child and maternal malnutrition,2004,2466.7
Tobacco,2004,103.1
Air pollution,2007,1466.0
Other environmental risks,2007,416.4
Child and maternal malnutrition,2007,3.5
Tobacco,2007,1318.4
Alcohol use,2007,86.9
Drug use,2007,607.1
High fasting plasma glucose,2007,3590.5
High systolic blood pressure,2007,3675.5
"Unsafe water, sanitation, and handwashing",2005,215.5
Air pollution,2005,248.9
Tobacco,2008,12.3
Alcohol use,2008,40.2
Drug use,2008,15.5
Low bone mineral density,2008,177.1
Occupational risks,2008,200.3
Intimate partner violence,2008,8.4
Occupational risks,2005,303.5
Intimate partner violence,2005,25.5
High body-mass index,2005,3334.3
Dietary risks,2005,3732.3
Low physical activity,2005,639.5
Air pollution,2009,1509.3
Other environmental risks,2009,418.7
Child and maternal malnutrition,2009,3.0
Tobacco,2009,1377.6
Alcohol use,2009,88.3
Drug use,2009,652.7
High fasting plasma glucose,2009,3714.6
High systolic blood pressure,2009,3747.4
Child and maternal malnutrition,2005,2274.3
Tobacco,2005,102.8
Impaired kidney function,2009,1367.1
High LDL cholesterol,2009,1917.0
Childhood maltreatment,2009,67.2
High body-mass index,2006,3413.6
Dietary risks,2006,3825.9
Low physical activity,2006,657.8
Occupational risks,2006,305.8
Intimate partner violence,2006,25.4
"Unsafe water, sanitation, and handwashing",2006,202.1
Air pollution,2006,249.7
Child and maternal malnutrition,2006,2090.3
Tobacco,2006,101.6
Unsafe sex,2009,18.4
Tobacco,2009,12.3
Alcohol use,2009,40.2
Drug use,2009,16.0
Low bone mineral density,2009,176.4
Occupational risks,2009,193.7
Intimate partner violence,2009,8.3
Alcohol use,2010,6.0
Drug use,2010,9.5
High fasting plasma glucose,2010,26.6
Intimate partner violence,2010,3.2
Unsafe sex,2010,66.4
Alcohol use,2009,6.3
Drug use,2009,9.6
High fasting plasma glucose,2009,27.9
Intimate partner violence,2009,3.3
Unsafe sex,2009,66.8
Unsafe sex,2010,18.3
Impaired kidney function,2010,1365.3
High LDL cholesterol,2010,1930.8
Childhood maltreatment,2010,67.8
Child and maternal malnutrition,2010,2.9
Tobacco,2010,1389.9
Alcohol use,2010,89.2
Drug use,2010,669.8
High fasting plasma glucose,2010,3734.7
High systolic blood pressure,2010,3742.4
High body-mass index,2008,3554.5
Dietary risks,2008,3947.9
Low physical activity,2008,684.8
Occupational risks,2008,311.5
Intimate partner violence,2008,25.1
Alcohol use,2011,5.7
Drug use,2011,9.4
High fasting plasma glucose,2011,24.8
Intimate partner violence,2011,3.2
Unsafe sex,2011,65.9
Air pollution,2011,1505.1
Other environmental risks,2011,404.5
Child and maternal malnutrition,2011,2.8
Tobacco,2011,1378.0
Alcohol use,2011,89.4
Drug use,2011,682.8
High fasting plasma glucose,2011,3708.9
High systolic blood pressure,2011,3689.7
Unsafe sex,2011,18.0
"Unsafe water, sanitation, and handwashing",2007,191.9
Air pollution,2007,250.2
Air pollution,2010,1511.5
Other environmental risks,2010,414.8
Impaired kidney function,2011,1351.8
High LDL cholesterol,2011,1918.7
Childhood maltreatment,2011,68.3
Tobacco,2010,12.3
Alcohol use,2010,40.1
Drug use,2010,16.6
Low bone mineral density,2010,175.3
Occupational risks,2010,187.2
Intimate partner violence,2010,8.3
Child and maternal malnutrition,2007,1919.8
Tobacco,2007,101.1
Tobacco,2011,12.1
Alcohol use,2011,40.1
Drug use,2011,17.2
Low bone mineral density,2011,172.7
Occupational risks,2011,180.3
Intimate partner violence,2011,8.2
"Unsafe water, sanitation, and handwashing",2008,180.5
Air pollution,2008,250.4
Child and maternal malnutrition,2008,1755.8
Tobacco,2008,100.9
High body-mass index,2009,3614.7
Dietary risks,2009,3991.8
Low physical activity,2009,694.5
Air pollution,2012,1481.6
Other environmental risks,2012,388.8
Child and maternal malnutrition,2012,2.7
Tobacco,2012,1351.2
Alcohol use,2012,89.8
Drug use,2012,694.9
High fasting plasma glucose,2012,3643.4
High systolic blood pressure,2012,3595.9
Alcohol use,2012,5.4
Drug use,2012,9.3
High fasting plasma glucose,2012,22.9
Intimate partner violence,2012,3.1
Unsafe sex,2012,65.3
High body-mass index,2007,3479.3
Dietary risks,2007,3883.8
Low physical activity,2007,670.5
Occupational risks,2009,313.2
Intimate partner violence,2009,24.9
Occupational risks,2007,308.8
Intimate partner violence,2007,25.3
Tobacco,2012,11.8
Alcohol use,2012,40.3
Drug use,2012,17.9
Low bone mineral density,2012,168.7
Occupational risks,2012,173.1
Intimate partner violence,2012,8.1
Unsafe sex,2012,17.6
Impaired kidney function,2012,1325.0
High LDL cholesterol,2012,1887.8
Childhood maltreatment,2012,68.9
Air pollution,2013,1442.3
Other environmental risks,2013,371.1
Child and maternal malnutrition,2013,2.7
Tobacco,2013,1318.5
Alcohol use,2013,90.3
Drug use,2013,706.5
High fasting plasma glucose,2013,3557.2
High systolic blood pressure,2013,3483.3
Alcohol use,2013,5.2
Drug use,2013,9.1
High fasting plasma glucose,2013,21.0
Intimate partner violence,2013,3.1
Unsafe sex,2013,64.8
Impaired kidney function,2013,1290.8
High LDL cholesterol,2013,1844.6
Childhood maltreatment,2013,69.4
High body-mass index,2011,3647.2
Dietary risks,2011,3963.3
Low physical activity,2011,694.2
Unsafe sex,2013,17.1
Occupational risks,2011,314.2
Intimate partner violence,2011,24.8
Tobacco,2013,11.5
Alcohol use,2013,40.8
Drug use,2013,18.3
Low bone mineral density,2013,165.0
Occupational risks,2013,167.5
Intimate partner violence,2013,8.1
High body-mass index,2010,3651.5
Dietary risks,2010,4006.5
Low physical activity,2010,699.0
Occupational risks,2010,314.8
Intimate partner violence,2010,24.8
"Unsafe water, sanitation, and handwashing",2011,153.0
Air pollution,2011,241.8
"Unsafe water, sanitation, and handwashing",2009,170.7
Air pollution,2009,247.4
Child and maternal malnutrition,2009,1626.9
Tobacco,2009,99.5
Alcohol use,2014,5.0
Drug use,2014,9.0
High fasting plasma glucose,2014,19.3
Intimate partner violence,2014,3.0
Unsafe sex,2014,64.4
Child and maternal malnutrition,2014,2.6
Tobacco,2014,1282.1
Alcohol use,2014,91.3
Drug use,2014,717.6
High fasting plasma glucose,2014,3457.6
High systolic blood pressure,2014,3372.5
Air pollution,2014,1373.7
Other environmental risks,2014,352.1
Child and maternal malnutrition,2011,1417.3
Tobacco,2011,94.8
Alcohol use,2015,4.8
Drug use,2015,8.9
High fasting plasma glucose,2015,17.8
Intimate partner violence,2015,3.0
Unsafe sex,2015,64.0
Air pollution,2015,1399.3
Other environmental risks,2015,334.5
Child and maternal malnutrition,2015,2.6
Tobacco,2015,1249.0
Alcohol use,2015,91.5
Drug use,2015,727.0
High fasting plasma glucose,2015,3363.4
High systolic blood pressure,2015,3271.1
Unsafe sex,2014,16.7
Impaired kidney function,2014,1254.4
High LDL cholesterol,2014,1788.1
Childhood maltreatment,2014,69.9
Unsafe sex,2015,16.2
"Unsafe water, sanitation, and handwashing",2010,161.7
Air pollution,2010,243.2
Child and maternal malnutrition,2010,1516.7
Tobacco,2010,97.9
Impaired kidney function,2015,1221.9
High LDL cholesterol,2015,1751.9
Childhood maltreatment,2015,70.3
Tobacco,2014,11.2
Alcohol use,2014,41.1
Drug use,2014,19.0
Low bone mineral density,2014,160.1
Occupational risks,2014,162.4
Intimate partner violence,2014,8.0
Tobacco,2015,11.7
Alcohol use,2015,41.3
Drug use,2015,19.4
Low bone mineral density,2015,161.8
Occupational risks,2015,154.3
Intimate partner violence,2015,7.9
"Unsafe water, sanitation, and handwashing",2013,139.8
Air pollution,2013,227.4
Child and maternal malnutrition,2013,1257.7
Tobacco,2013,86.5
High body-mass index,2012,3612.8
Dietary risks,2012,3879.8
Low physical activity,2012,681.6
Occupational risks,2012,312.8
Intimate partner violence,2012,24.8
High body-mass index,2013,3566.6
Dietary risks,2013,3776.6
Low physical activity,2013,664.1
Child and maternal malnutrition,2016,2.5
Tobacco,2016,1216.1
Alcohol use,2016,93.0
Drug use,2016,736.4
High fasting plasma glucose,2016,3275.3
High systolic blood pressure,2016,3183.3
Occupational risks,2013,310.7
Intimate partner violence,2013,24.8
"Unsafe water, sanitation, and handwashing",2012,145.8
Air pollution,2012,236.2
Child and maternal malnutrition,2012,1330.7
Tobacco,2012,90.8
Alcohol use,2016,4.8
Drug use,2016,8.9
High fasting plasma glucose,2016,16.6
Intimate partner violence,2016,3.0
Unsafe sex,2016,63.8
Air pollution,2016,1326.2
Other environmental risks,2016,318.6
Impaired kidney function,2017,1154.9
High LDL cholesterol,2017,1664.8
Childhood maltreatment,2017,71.3
Alcohol use,2017,4.8
Drug use,2017,8.8
High fasting plasma glucose,2017,15.7
Intimate partner violence,2017,3.0
Unsafe sex,2017,63.7
Air pollution,2017,1307.0
Other environmental risks,2017,303.4
Child and maternal malnutrition,2017,2.5
Tobacco,2017,1188.7
Alcohol use,2017,93.7
Drug use,2017,743.6
High fasting plasma glucose,2017,3186.5
High systolic blood pressure,2017,3102.6
Tobacco,2016,10.6
Alcohol use,2016,41.4
Drug use,2016,19.7
Low bone mineral density,2016,151.1
Occupational risks,2016,154.0
Intimate partner violence,2016,7.9
Unsafe sex,2017,15.3
"Unsafe water, sanitation, and handwashing",2015,130.4
Air pollution,2015,219.9
Unsafe sex,2016,15.7
Impaired kidney function,2016,1191.5
High LDL cholesterol,2016,1701.5
Childhood maltreatment,2016,70.8
High body-mass index,2015,3459.7
Dietary risks,2015,3553.2
Low physical activity,2015,624.4
Tobacco,2017,10.3
Alcohol use,2017,41.5
Drug use,2017,19.7
Low bone mineral density,2017,147.4
Occupational risks,2017,151.0
Intimate partner violence,2017,7.8
Child and maternal malnutrition,2015,1133.3
Tobacco,2015,78.2
"Unsafe water, sanitation, and handwashing",2014,135.0
Air pollution,2014,211.2
Child and maternal malnutrition,2014,1193.6
Tobacco,2014,82.3
Occupational risks,2015,305.3
Intimate partner violence,2015,25.0
"Unsafe water, sanitation, and handwashing",2017,124.9
Air pollution,2017,200.4
High body-mass index,2014,3513.7
Dietary risks,2014,3655.9
Low physical activity,2014,641.2
Occupational risks,2014,308.2
Intimate partner violence,2014,24.9
"Unsafe water, sanitation, and handwashing",2016,127.1
Air pollution,2016,203.8
Child and maternal malnutrition,2016,1081.6
Tobacco,2016,74.8
Child and maternal malnutrition,2017,1019.1
Tobacco,2017,71.9
High body-mass index,2016,3411.4
Dietary risks,2016,3449.3
Low physical activity,2016,605.4
Occupational risks,2016,302.5
Intimate partner violence,2016,25.1
High body-mass index,2017,3365.4
Dietary risks,2017,3365.6
Low physical activity,2017,590.5
Occupational risks,2017,300.0
Intimate partner violence,2017,25.2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
