name,year,value,lastvalue
Impaired kidney function,1990,400.0646617,200.9090824
High LDL cholesterol,1990,1228.639452,346.8931578
Air pollution,1993,516.593806,313.57582
Other environmental risks,1993,84.03905825,42.78366456
Child and maternal malnutrition,1993,9.109670144,3.707591175
Tobacco,1993,2755.250698,1362.78479
Alcohol use,1993,128.6264321,316.268104
Drug use,1993,221.9674261,323.7887548
High fasting plasma glucose,1993,1002.270933,898.9148906
High systolic blood pressure,1993,2275.904911,753.7317619
High body-mass index,1993,1368.719348,1152.92888
Dietary risks,1993,1987.674552,928.764374
Dietary risks,1992,2020.86106,928.764374
Low physical activity,1992,318.5287215,130.4331995
Occupational risks,1992,381.2474554,457.688033
Dietary risks,1990,2168.694801,928.764374
Low physical activity,1990,341.2231427,130.4331995
Occupational risks,1990,385.574113,457.688033
Unsafe sex,1993,186.572897,115.6933463
Intimate partner violence,1994,90.6492071,78.95095568
Dietary risks,1994,1876.903349,928.764374
Low physical activity,1994,294.8285885,130.4331995
Occupational risks,1994,378.2814833,457.688033
Impaired kidney function,1994,347.8001455,200.9090824
High LDL cholesterol,1994,1016.308886,346.8931578
Childhood maltreatment,1994,91.78572696,94.0962599
Low physical activity,1992,318.5287215,130.4331995
Occupational risks,1992,367.1855471,450.4636052
Intimate partner violence,1992,60.22418797,56.41643722
"Unsafe water, sanitation, and handwashing",1991,8.357274601,6.379863173
Air pollution,1991,590.2877136,342.5510594
Other environmental risks,1991,86.47700041,42.78366456
Child and maternal malnutrition,1991,1050.90299,715.6780858
Tobacco,1991,3035.142783,1420.29808
Alcohol use,1991,240.1927311,440.5191888
Drug use,1991,223.7888127,335.1616829
"Unsafe water, sanitation, and handwashing",1992,7.979203128,6.379863173
Air pollution,1992,576.5840636,342.5510594
Other environmental risks,1992,84.72459648,42.78366456
Low physical activity,1991,329.2360285,130.4331995
Occupational risks,1991,368.2493342,450.4636052
Intimate partner violence,1991,60.32315252,56.41643722
Unsafe sex,1991,173.7223177,86.31603873
High fasting plasma glucose,1991,1024.981732,899.4947739
High systolic blood pressure,1991,2391.896279,753.7317619
High body-mass index,1991,1376.180299,1152.92888
Low bone mineral density,1991,103.5155123,117.0326253
Unsafe sex,1992,164.8887655,86.31603873
Impaired kidney function,1995,343.1844059,200.9090824
High LDL cholesterol,1995,984.9165567,346.8931578
Childhood maltreatment,1995,92.00481851,94.0962599
Air pollution,1995,490.9123815,313.57582
Other environmental risks,1995,80.0346957,42.78366456
Child and maternal malnutrition,1995,7.781505947,3.707591175
Tobacco,1995,2572.976152,1362.78479
Alcohol use,1995,165.5293285,316.268104
Drug use,1995,231.5504473,323.7887548
High fasting plasma glucose,1995,963.9176932,898.9148906
High systolic blood pressure,1995,2105.690168,753.7317619
High body-mass index,1995,1341.643678,1152.92888
Dietary risks,1995,1851.098831,928.764374
Child and maternal malnutrition,1992,994.2681802,715.6780858
Tobacco,1992,2932.802008,1420.29808
Alcohol use,1992,258.0417988,440.5191888
Drug use,1992,227.6918734,335.1616829
High fasting plasma glucose,1992,1008.391449,899.4947739
High systolic blood pressure,1992,2311.940525,753.7317619
High body-mass index,1992,1364.512648,1152.92888
Low bone mineral density,1992,102.8612349,117.0326253
Unsafe sex,1996,167.4745664,115.6933463
High LDL cholesterol,1996,925.3416124,346.8931578
Childhood maltreatment,1996,92.18507425,94.0962599
Unsafe sex,1995,176.8442914,115.6933463
Tobacco,1995,13.98367436,12.88518504
Alcohol use,1995,132.3608907,115.6119232
Drug use,1995,9.817011934,10.05096549
Low bone mineral density,1995,102.3565278,117.0326253
Occupational risks,1995,11.77862299,7.22442783
Intimate partner violence,1995,27.23170773,20.72612435
Air pollution,1996,476.7685918,313.57582
Other environmental risks,1996,77.76268975,42.78366456
Child and maternal malnutrition,1996,7.545059772,3.707591175
Tobacco,1996,2475.469255,1362.78479
Alcohol use,1996,178.7875963,316.268104
Drug use,1996,237.4064566,323.7887548
High fasting plasma glucose,1996,948.4516948,898.9148906
High systolic blood pressure,1996,2005.85115,753.7317619
High body-mass index,1996,1324.452041,1152.92888
Dietary risks,1996,1774.882366,928.764374
Impaired kidney function,1996,330.7966214,200.9090824
Tobacco,1996,13.79248247,12.88518504
Alcohol use,1996,132.2878938,115.6119232
Drug use,1996,10.0224079,10.05096549
Low bone mineral density,1996,102.4385775,117.0326253
Occupational risks,1996,11.17711966,7.22442783
Intimate partner violence,1996,25.89317455,20.72612435
High fasting plasma glucose,1993,1003.056595,899.4947739
High systolic blood pressure,1993,2275.904911,753.7317619
High body-mass index,1993,1368.719348,1152.92888
Low bone mineral density,1993,102.7892168,117.0326253
Low physical activity,1993,313.2476243,130.4331995
Dietary risks,1995,1851.098831,928.764374
Low physical activity,1995,289.9196681,130.4331995
Occupational risks,1995,379.9633073,457.688033
Intimate partner violence,1995,89.58140797,78.95095568
Occupational risks,1993,368.8139124,450.4636052
Intimate partner violence,1993,60.0971219,56.41643722
Unsafe sex,1993,157.5156404,86.31603873
Impaired kidney function,1997,317.7345109,200.9090824
High LDL cholesterol,1997,870.0411954,346.8931578
Childhood maltreatment,1997,92.49418103,94.0962599
"Unsafe water, sanitation, and handwashing",1993,7.93661228,6.379863173
Air pollution,1993,576.575612,342.5510594
Other environmental risks,1993,84.03905825,42.78366456
Child and maternal malnutrition,1993,977.3244891,715.6780858
Tobacco,1993,2876.923284,1420.29808
Alcohol use,1993,277.0745265,440.5191888
Drug use,1993,233.2346577,335.1616829
"Unsafe water, sanitation, and handwashing",1994,7.691975814,6.379863173
Air pollution,1994,554.4423043,342.5510594
Other environmental risks,1994,80.84063001,42.78366456
Air pollution,1997,464.2343133,313.57582
Other environmental risks,1997,75.50668015,42.78366456
Child and maternal malnutrition,1997,6.770989788,3.707591175
Tobacco,1997,2383.040955,1362.78479
Alcohol use,1997,190.7493374,316.268104
Drug use,1997,242.1414432,323.7887548
High fasting plasma glucose,1997,943.5061245,898.9148906
High systolic blood pressure,1997,1903.999067,753.7317619
High body-mass index,1997,1313.748597,1152.92888
Dietary risks,1997,1705.053182,928.764374
Unsafe sex,1997,159.7754872,115.6933463
Impaired kidney function,1995,343.1844059,200.9090824
High LDL cholesterol,1995,984.9165567,346.8931578
Childhood maltreatment,1995,92.00481851,94.0962599
Tobacco,1997,13.60067964,12.88518504
Alcohol use,1997,131.1256251,115.6119232
Drug use,1997,9.925370253,10.05096549
Low bone mineral density,1997,102.8597022,117.0326253
Occupational risks,1997,10.70483063,7.22442783
Intimate partner violence,1997,24.6575454,20.72612435
Child and maternal malnutrition,1994,963.0583692,715.6780858
Tobacco,1994,2743.583521,1420.29808
Alcohol use,1994,294.3300791,440.5191888
Drug use,1994,236.542231,335.1616829
High fasting plasma glucose,1994,967.3234837,899.4947739
High systolic blood pressure,1994,2145.515137,753.7317619
High body-mass index,1994,1334.426204,1152.92888
Low bone mineral density,1994,101.9741547,117.0326253
Low physical activity,1994,294.8285885,130.4331995
Occupational risks,1994,365.6140446,450.4636052
Intimate partner violence,1994,59.97411283,56.41643722
Unsafe sex,1994,145.6586642,86.31603873
Impaired kidney function,1998,308.0644033,200.9090824
High LDL cholesterol,1998,828.5108087,346.8931578
Childhood maltreatment,1998,92.91749152,94.0962599
Air pollution,1998,455.9412854,313.57582
Other environmental risks,1998,73.9983269,42.78366456
Child and maternal malnutrition,1998,6.008639096,3.707591175
Tobacco,1998,2310.150279,1362.78479
Alcohol use,1998,203.0631503,316.268104
Unsafe sex,1998,149.5552827,115.6933463
Drug use,1998,247.7735879,323.7887548
High fasting plasma glucose,1998,948.2706581,898.9148906
High systolic blood pressure,1998,1823.2544,753.7317619
High body-mass index,1998,1314.242426,1152.92888
Dietary risks,1998,1656.381474,928.764374
Dietary risks,1996,1774.882366,928.764374
Low physical activity,1996,277.0229584,130.4331995
Occupational risks,1996,382.7858759,457.688033
Intimate partner violence,1996,87.64033557,78.95095568
Impaired kidney function,1996,330.7966214,200.9090824
High LDL cholesterol,1996,925.3416124,346.8931578
Childhood maltreatment,1996,92.18507425,94.0962599
Tobacco,1998,13.38914082,12.88518504
Alcohol use,1998,130.9485821,115.6119232
Drug use,1998,10.03124657,10.05096549
Low bone mineral density,1998,103.2781174,117.0326253
Occupational risks,1998,10.17197874,7.22442783
Intimate partner violence,1998,23.86679045,20.72612435
"Unsafe water, sanitation, and handwashing",1995,7.662405639,6.379863173
Air pollution,1995,553.956723,342.5510594
Other environmental risks,1995,80.0346957,42.78366456
Child and maternal malnutrition,1995,956.4047534,715.6780858
Tobacco,1995,2697.583426,1420.29808
Alcohol use,1995,312.6851662,440.5191888
Drug use,1995,243.0650761,335.1616829
High fasting plasma glucose,1995,964.6726078,899.4947739
High systolic blood pressure,1995,2105.690168,753.7317619
High body-mass index,1995,1341.643678,1152.92888
Low bone mineral density,1995,102.3565278,117.0326253
Low physical activity,1995,289.9196681,130.4331995
Occupational risks,1995,368.1846844,450.4636052
Intimate partner violence,1995,59.87178154,56.41643722
Unsafe sex,1995,143.2825094,86.31603873
Dietary risks,1997,1705.053182,928.764374
Low physical activity,1997,264.9006855,130.4331995
Occupational risks,1997,387.0701067,457.688033
Intimate partner violence,1997,85.90821608,78.95095568
Impaired kidney function,1999,295.0013901,200.9090824
High LDL cholesterol,1999,778.4967427,346.8931578
Childhood maltreatment,1999,93.38842861,94.0962599
Impaired kidney function,1997,317.7345109,200.9090824
High LDL cholesterol,1997,870.0411954,346.8931578
Childhood maltreatment,1997,92.49418103,94.0962599
Air pollution,1999,443.7647454,313.57582
Other environmental risks,1999,71.62302701,42.78366456
Child and maternal malnutrition,1999,5.761682421,3.707591175
Tobacco,1999,2226.620496,1362.78479
Alcohol use,1999,217.1605368,316.268104
Drug use,1999,251.2940917,323.7887548
High fasting plasma glucose,1999,941.9521022,898.9148906
High systolic blood pressure,1999,1719.005611,753.7317619
High body-mass index,1999,1302.070708,1152.92888
Dietary risks,1999,1584.264429,928.764374
Unsafe sex,1999,143.6744546,115.6933463
Tobacco,1999,13.24857378,12.88518504
Alcohol use,1999,130.176607,115.6119232
Drug use,1999,9.908857013,10.05096549
Low bone mineral density,1999,104.1606561,117.0326253
Occupational risks,1999,9.617655105,7.22442783
Intimate partner violence,1999,23.52497331,20.72612435
"Unsafe water, sanitation, and handwashing",1996,7.585837757,6.379863173
Air pollution,1996,540.7396694,342.5510594
Other environmental risks,1996,77.76268975,42.78366456
Child and maternal malnutrition,1996,964.2297184,715.6780858
Tobacco,1996,2599.446219,1420.29808
Alcohol use,1996,326.1112554,440.5191888
Drug use,1996,248.8692696,335.1616829
High fasting plasma glucose,1996,949.1881431,899.4947739
High systolic blood pressure,1996,2005.85115,753.7317619
High body-mass index,1996,1324.452041,1152.92888
Low bone mineral density,1996,102.4385775,117.0326253
Dietary risks,1998,1656.381474,928.764374
Low physical activity,1998,255.875203,130.4331995
Occupational risks,1998,393.449325,457.688033
Intimate partner violence,1998,83.97072222,78.95095568
Low physical activity,1996,277.0229584,130.4331995
Occupational risks,1996,371.6087563,450.4636052
Intimate partner violence,1996,59.65196503,56.41643722
Unsafe sex,1996,136.7566953,86.31603873
Impaired kidney function,1998,308.0644033,200.9090824
High LDL cholesterol,1998,828.5108087,346.8931578
Childhood maltreatment,1998,92.91749152,94.0962599
Air pollution,2000,428.8355661,313.57582
Other environmental risks,2000,68.91666444,42.78366456
Child and maternal malnutrition,2000,5.585502883,3.707591175
Tobacco,2000,2144.871533,1362.78479
Alcohol use,2000,231.414198,316.268104
Tobacco,2000,13.15894543,12.88518504
Alcohol use,2000,129.3131088,115.6119232
Drug use,2000,9.660184727,10.05096549
Low bone mineral density,2000,105.013876,117.0326253
Occupational risks,2000,9.113183016,7.22442783
Intimate partner violence,2000,23.7072588,20.72612435
Low physical activity,1999,243.6705844,130.4331995
Occupational risks,1999,399.6884709,457.688033
Intimate partner violence,1999,83.05409088,78.95095568
High fasting plasma glucose,1997,944.2298153,899.4947739
High systolic blood pressure,1997,1903.999067,753.7317619
High body-mass index,1997,1313.748597,1152.92888
Low bone mineral density,1997,102.8597022,117.0326253
Drug use,2000,253.1332361,323.7887548
High fasting plasma glucose,2000,922.9932812,898.9148906
High systolic blood pressure,2000,1609.969615,753.7317619
High body-mass index,2000,1280.841702,1152.92888
Dietary risks,2000,1503.650794,928.764374
"Unsafe water, sanitation, and handwashing",1997,7.475109305,6.379863173
Air pollution,1997,528.3039505,342.5510594
Other environmental risks,1997,75.50668015,42.78366456
Child and maternal malnutrition,1997,937.1521967,715.6780858
Tobacco,1997,2505.268746,1420.29808
Alcohol use,1997,337.0619287,440.5191888
Drug use,1997,253.4688152,335.1616829
Impaired kidney function,1999,295.0013901,200.9090824
High LDL cholesterol,1999,778.4967427,346.8931578
Childhood maltreatment,1999,93.38842861,94.0962599
Occupational risks,1997,376.3652761,450.4636052
Intimate partner violence,1997,59.20134059,56.41643722
Unsafe sex,1997,129.1969891,86.31603873
Low physical activity,1997,264.9006855,130.4331995
High LDL cholesterol,2000,729.531664,346.8931578
Childhood maltreatment,2000,93.88504762,94.0962599
Impaired kidney function,2000,281.3761207,200.9090824
Dietary risks,1999,1584.264429,928.764374
Unsafe sex,2000,140.2291032,115.6933463
Childhood maltreatment,2000,93.88504762,94.0962599
Dietary risks,2000,1503.650794,928.764374
Low physical activity,2000,230.410501,130.4331995
Occupational risks,2000,405.8170447,457.688033
Intimate partner violence,2000,82.91167946,78.95095568
Impaired kidney function,2000,281.3761207,200.9090824
High LDL cholesterol,2000,729.531664,346.8931578
"Unsafe water, sanitation, and handwashing",1998,7.320323604,6.379863173
Air pollution,1998,518.9034629,342.5510594
Other environmental risks,1998,73.9983269,42.78366456
Impaired kidney function,2001,269.9236906,200.9090824
High LDL cholesterol,2001,686.4261189,346.8931578
Childhood maltreatment,2001,94.19806787,94.0962599
Drug use,2002,259.4097027,323.7887548
High fasting plasma glucose,2002,891.5091545,898.9148906
High systolic blood pressure,2002,1441.054281,753.7317619
High body-mass index,2002,1259.147723,1152.92888
Dietary risks,2002,1389.522361,928.764374
Unsafe sex,2002,137.9334602,115.6933463
Air pollution,2002,411.6795701,313.57582
Other environmental risks,2002,65.01461423,42.78366456
Child and maternal malnutrition,2002,5.027364728,3.707591175
Tobacco,2002,2034.419872,1362.78479
Alcohol use,2002,264.9779151,316.268104
Child and maternal malnutrition,1998,912.5425287,715.6780858
Tobacco,1998,2428.404582,1420.29808
Alcohol use,1998,349.1206233,440.5191888
Drug use,1998,258.813109,335.1616829
High fasting plasma glucose,1998,948.989241,899.4947739
High systolic blood pressure,1998,1823.2544,753.7317619
High body-mass index,1998,1314.242426,1152.92888
Low bone mineral density,1998,103.2781174,117.0326253
Air pollution,2001,417.476309,313.57582
Other environmental risks,2001,66.72167467,42.78366456
Child and maternal malnutrition,2001,5.255483053,3.707591175
Tobacco,2001,2080.552499,1362.78479
Alcohol use,2001,250.2394578,316.268104
Drug use,2001,257.1876962,323.7887548
High fasting plasma glucose,2001,902.2281777,898.9148906
High systolic blood pressure,2001,1513.863475,753.7317619
High body-mass index,2001,1263.214755,1152.92888
Dietary risks,2001,1433.714367,928.764374
High LDL cholesterol,2002,657.7232083,346.8931578
Childhood maltreatment,2002,93.44711302,94.0962599
Impaired kidney function,2002,261.6878718,200.9090824
Unsafe sex,1998,123.3392302,86.31603873
Low physical activity,1998,255.875203,130.4331995
Occupational risks,1998,383.2773462,450.4636052
Intimate partner violence,1998,58.63850918,56.41643722
Dietary risks,2001,1433.714367,928.764374
Unsafe sex,2001,141.5211788,115.6933463
Tobacco,2001,13.14034907,12.88518504
Alcohol use,2001,127.5996504,115.6119232
Drug use,2001,9.203062938,10.05096549
Low bone mineral density,2001,106.358886,117.0326253
Occupational risks,2001,8.65220605,7.22442783
Intimate partner violence,2001,24.04631983,20.72612435
Low physical activity,2001,219.3042018,130.4331995
Occupational risks,2001,413.1271579,457.688033
Intimate partner violence,2001,82.88725575,78.95095568
High fasting plasma glucose,1999,942.6749796,899.4947739
High systolic blood pressure,1999,1719.005611,753.7317619
High body-mass index,1999,1302.070708,1152.92888
Low bone mineral density,1999,104.1606561,117.0326253
"Unsafe water, sanitation, and handwashing",1999,7.163919126,6.379863173
Air pollution,1999,505.0702597,342.5510594
Other environmental risks,1999,71.62302701,42.78366456
Child and maternal malnutrition,1999,912.1009409,715.6780858
Tobacco,1999,2339.912349,1420.29808
Alcohol use,1999,362.2580189,440.5191888
Drug use,1999,262.1994856,335.1616829
Low physical activity,1999,243.6705844,130.4331995
Impaired kidney function,2001,269.9236906,200.9090824
High LDL cholesterol,2001,686.4261189,346.8931578
Childhood maltreatment,2001,94.19806787,94.0962599
Tobacco,2002,13.13945375,12.88518504
Alcohol use,2002,127.303494,115.6119232
Drug use,2002,9.063385908,10.05096549
Low bone mineral density,2002,108.0410073,117.0326253
Occupational risks,2002,8.240640528,7.22442783
Intimate partner violence,2002,24.30982548,20.72612435
Occupational risks,1999,390.0708158,450.4636052
Intimate partner violence,1999,58.08795311,56.41643722
Unsafe sex,1999,117.5283394,86.31603873
Childhood maltreatment,2002,93.44711302,94.0962599
Impaired kidney function,2002,261.6878718,200.9090824
High LDL cholesterol,2002,657.7232083,346.8931578
Dietary risks,2002,1389.522361,928.764374
Low physical activity,2002,212.3596684,130.4331995
Occupational risks,2002,425.3206751,457.688033
Intimate partner violence,2002,81.75863053,78.95095568
Tobacco,2003,13.14411822,12.88518504
Alcohol use,2003,127.3233367,115.6119232
Drug use,2003,8.948781031,10.05096549
Low bone mineral density,2003,109.9274873,117.0326253
Occupational risks,2003,7.957568991,7.22442783
Intimate partner violence,2003,24.57368165,20.72612435
Tobacco,2004,13.00505462,12.88518504
Alcohol use,2004,125.0630475,115.6119232
Drug use,2004,8.682042234,10.05096549
Low bone mineral density,2004,110.4282464,117.0326253
Occupational risks,2004,8.006382369,7.22442783
Intimate partner violence,2004,24.32550812,20.72612435
Low physical activity,2000,230.410501,130.4331995
Occupational risks,2000,396.7038617,450.4636052
Intimate partner violence,2000,57.64933329,56.41643722
Impaired kidney function,2003,253.5619061,200.9090824
High LDL cholesterol,2003,628.2794082,346.8931578
Childhood maltreatment,2003,92.30183157,94.0962599
Unsafe sex,2000,113.3975295,86.31603873
Child and maternal malnutrition,2002,878.3640316,715.6780858
Tobacco,2002,2121.459869,1420.29808
Alcohol use,2002,404.8149704,440.5191888
Drug use,2002,269.7421756,335.1616829
High fasting plasma glucose,2002,892.2064856,899.4947739
High systolic blood pressure,2002,1441.054281,753.7317619
High body-mass index,2002,1259.147723,1152.92888
Low bone mineral density,2002,108.0410073,117.0326253
Unsafe sex,2003,142.0851895,115.6933463
High LDL cholesterol,2004,569.9937158,346.8931578
Childhood maltreatment,2004,91.20330797,94.0962599
Impaired kidney function,2004,237.1376976,200.9090824
Air pollution,2003,405.9485128,313.57582
Other environmental risks,2003,63.26418403,42.78366456
Child and maternal malnutrition,2003,5.073087954,3.707591175
Tobacco,2003,1989.417949,1362.78479
Alcohol use,2003,279.2506521,316.268104
Drug use,2003,262.5950431,323.7887548
High fasting plasma glucose,2003,878.4237354,898.9148906
High systolic blood pressure,2003,1362.397655,753.7317619
High body-mass index,2003,1254.084494,1152.92888
Dietary risks,2003,1343.622213,928.764374
Unsafe sex,2004,136.0067091,115.6933463
Air pollution,2004,386.1505953,313.57582
Other environmental risks,2004,59.86299768,42.78366456
Child and maternal malnutrition,2004,4.742377373,3.707591175
Tobacco,2004,1895.97801,1362.78479
Alcohol use,2004,290.2160148,316.268104
Drug use,2004,264.1217694,323.7887548
High fasting plasma glucose,2004,840.6232195,898.9148906
High systolic blood pressure,2004,1230.197982,753.7317619
High body-mass index,2004,1217.213936,1152.92888
Dietary risks,2004,1245.335747,928.764374
Low physical activity,2002,212.3596684,130.4331995
Occupational risks,2002,417.0800346,450.4636052
Intimate partner violence,2002,55.66690959,56.41643722
"Unsafe water, sanitation, and handwashing",2002,6.569091328,6.379863173
Air pollution,2002,459.1753962,342.5510594
Other environmental risks,2002,65.01461423,42.78366456
Low physical activity,2003,204.9075261,130.4331995
Occupational risks,2003,438.3745575,457.688033
Intimate partner violence,2003,81.40072507,78.95095568
Child and maternal malnutrition,2000,896.8025078,715.6780858
Tobacco,2000,2249.293744,1420.29808
Alcohol use,2000,375.0028527,440.5191888
Drug use,2000,263.8916588,335.1616829
High fasting plasma glucose,2000,923.7219956,899.4947739
High systolic blood pressure,2000,1609.969615,753.7317619
High body-mass index,2000,1280.841702,1152.92888
Low bone mineral density,2000,105.013876,117.0326253
Dietary risks,2003,1343.622213,928.764374
Impaired kidney function,2003,253.5619061,200.9090824
High LDL cholesterol,2003,628.2794082,346.8931578
Childhood maltreatment,2003,92.30183157,94.0962599
"Unsafe water, sanitation, and handwashing",2000,6.898518814,6.379863173
Air pollution,2000,485.4431513,342.5510594
Other environmental risks,2000,68.91666444,42.78366456
Unsafe sex,2002,108.9525582,86.31603873
Low physical activity,2001,219.3042018,130.4331995
Occupational risks,2001,404.4749519,450.4636052
Intimate partner violence,2001,56.91840809,56.41643722
Unsafe sex,2001,111.5983766,86.31603873
High fasting plasma glucose,2001,902.9406053,899.4947739
High systolic blood pressure,2001,1513.863475,753.7317619
High body-mass index,2001,1263.214755,1152.92888
Low bone mineral density,2001,106.358886,117.0326253
Dietary risks,2004,1245.335747,928.764374
Low physical activity,2004,188.5315987,130.4331995
Occupational risks,2004,444.2239413,457.688033
"Unsafe water, sanitation, and handwashing",2001,6.578767275,6.379863173
Air pollution,2001,467.3749315,342.5510594
Other environmental risks,2001,66.72167467,42.78366456
Child and maternal malnutrition,2001,885.33869,715.6780858
Tobacco,2001,2172.70285,1420.29808
Alcohol use,2001,390.8319252,440.5191888
Drug use,2001,267.7275055,335.1616829
Intimate partner violence,2004,79.92154903,78.95095568
Childhood maltreatment,2004,91.20330797,94.0962599
Occupational risks,2003,430.4169885,450.4636052
Intimate partner violence,2003,54.27384804,56.41643722
Unsafe sex,2003,107.4974966,86.31603873
Impaired kidney function,2004,237.1376976,200.9090824
High LDL cholesterol,2004,569.9937158,346.8931578
Low physical activity,2003,204.9075261,130.4331995
