sex,cause,name,year,value,lastValue,rank
Both,All causes,Dietary risks,2001,2121.250363,1338.474071,2
Both,All causes,High systolic blood pressure,2001,2103.061195,1079.722422,3
Both,All causes,High body-mass index,2001,1554.494496,1351.826614,4
Both,All causes,High fasting plasma glucose,2001,1185.140153,1099.055726,5
Both,All causes,High LDL cholesterol,2001,1114.367384,580.3970841,6
Both,All causes,Alcohol use,2001,900.896858,890.2334383,7
Both,All causes,Child and maternal malnutrition,2001,878.632879,701.1367344,8
Both,All causes,Occupational risks,2001,712.674566,657.9045263,9
Both,All causes,Air pollution,2001,626.7119527,421.8820538,10
Both,All causes,Drug use,2001,514.3524995,571.9336293,11
Both,All causes,Impaired kidney function,2001,316.4070991,219.9578065,12
Both,All causes,Low physical activity,2001,295.6170667,171.9935665,13
Both,All causes,Other environmental risks,2001,107.5219153,58.6562618,14
Both,All causes,Low bone mineral density,2001,92.94313325,100.9625777,15
Both,All causes,Unsafe sex,2001,92.05828778,76.14671419,16
Both,All causes,Childhood maltreatment,2001,83.57407933,81.52228465,17
Both,All causes,Intimate partner violence,2001,41.98873474,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",2001,7.001198507,6.437282067,19
Both,All causes,Tobacco,2002,2731.21481,1773.63312,1
Both,All causes,Dietary risks,2002,2056.341715,1338.474071,2
Both,All causes,High systolic blood pressure,2002,2007.682725,1079.722422,3
Both,All causes,High body-mass index,2002,1548.153961,1351.826614,4
Both,All causes,High fasting plasma glucose,2002,1161.589131,1099.055726,5
Both,All causes,High LDL cholesterol,2002,1070.502557,580.3970841,6
Both,All causes,Alcohol use,2002,919.2054478,890.2334383,7
Both,All causes,Child and maternal malnutrition,2002,868.6109781,701.1367344,8
Both,All causes,Occupational risks,2002,718.8971428,657.9045263,9
Both,All causes,Air pollution,2002,613.3097869,421.8820538,10
Both,All causes,Drug use,2002,519.5002624,571.9336293,11
Both,All causes,Impaired kidney function,2002,308.3590379,219.9578065,12
Both,All causes,Low physical activity,2002,286.2993963,171.9935665,13
Both,All causes,Other environmental risks,2002,104.2389104,58.6562618,14
Both,All causes,Low bone mineral density,2002,94.23879969,100.9625777,15
Both,All causes,Unsafe sex,2002,91.03487551,76.14671419,16
Both,All causes,Childhood maltreatment,2002,83.14484814,81.52228465,17
Both,All causes,Intimate partner violence,2002,41.39632016,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",2002,6.954220487,6.437282067,19
Both,All causes,Tobacco,2003,2645.893042,1773.63312,1
Both,All causes,Dietary risks,2003,1981.485977,1338.474071,2
Both,All causes,High systolic blood pressure,2003,1898.914774,1079.722422,3
Both,All causes,High body-mass index,2003,1535.812435,1351.826614,4
Both,All causes,High fasting plasma glucose,2003,1130.559953,1099.055726,5
Both,All causes,High LDL cholesterol,2003,1022.018806,580.3970841,6
Both,All causes,Alcohol use,2003,932.9787208,890.2334383,7
Both,All causes,Child and maternal malnutrition,2003,883.561746,701.1367344,8
Both,All causes,Occupational risks,2003,723.5012299,657.9045263,9
Both,All causes,Air pollution,2003,599.3788243,421.8820538,10
Both,All causes,Drug use,2003,523.800187,571.9336293,11
Both,All causes,Impaired kidney function,2003,298.9094224,219.9578065,12
Both,All causes,Low physical activity,2003,275.3104247,171.9935665,13
Both,All causes,Other environmental risks,2003,100.3706646,58.6562618,14
Both,All causes,Low bone mineral density,2003,95.61632749,100.9625777,15
Both,All causes,Unsafe sex,2003,93.40704694,76.14671419,16
Both,All causes,Childhood maltreatment,2003,82.41339767,81.52228465,17
Both,All causes,Intimate partner violence,2003,41.18850663,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",2003,7.043438255,6.437282067,19
Both,All causes,Tobacco,2004,2495.334062,1773.63312,1
Both,All causes,Dietary risks,2004,1839.630864,1338.474071,2
Both,All causes,High systolic blood pressure,2004,1726.742382,1079.722422,3
Both,All causes,High body-mass index,2004,1483.658906,1351.826614,4
Both,All causes,High fasting plasma glucose,2004,1071.271754,1099.055726,5
Both,All causes,High LDL cholesterol,2004,933.1737875,580.3970841,6
Both,All causes,Alcohol use,2004,927.8562415,890.2334383,7
Both,All causes,Child and maternal malnutrition,2004,847.4413437,701.1367344,8
Both,All causes,Occupational risks,2004,715.3124242,657.9045263,9
Both,All causes,Air pollution,2004,565.0060284,421.8820538,10
Both,All causes,Drug use,2004,524.0876796,571.9336293,11
Both,All causes,Impaired kidney function,2004,280.2021063,219.9578065,12
Both,All causes,Low physical activity,2004,253.83418,171.9935665,13
Both,All causes,Low bone mineral density,2004,95.75275695,100.9625777,14
Both,All causes,Other environmental risks,2004,93.69922722,58.6562618,15
Both,All causes,Unsafe sex,2004,87.79629617,76.14671419,16
Both,All causes,Childhood maltreatment,2004,81.60723809,81.52228465,17
Both,All causes,Intimate partner violence,2004,40.40594408,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",2004,6.925557801,6.437282067,19
Both,All causes,Tobacco,2005,2397.642613,1773.63312,1
Both,All causes,Dietary risks,2005,1749.027254,1338.474071,2
Both,All causes,High systolic blood pressure,2005,1606.510048,1079.722422,3
Both,All causes,High body-mass index,2005,1455.331307,1351.826614,4
Both,All causes,High fasting plasma glucose,2005,1037.734512,1099.055726,5
Both,All causes,Alcohol use,2005,935.2496112,890.2334383,6
Both,All causes,High LDL cholesterol,2005,875.5370656,580.3970841,7
Both,All causes,Child and maternal malnutrition,2005,828.2128414,701.1367344,8
Both,All causes,Occupational risks,2005,710.9998136,657.9045263,9
Both,All causes,Air pollution,2005,545.0994959,421.8820538,10
Both,All causes,Drug use,2005,528.9975303,571.9336293,11
Both,All causes,Impaired kidney function,2005,269.3333881,219.9578065,12
Both,All causes,Low physical activity,2005,239.5331246,171.9935665,13
Both,All causes,Low bone mineral density,2005,96.27850375,100.9625777,14
Both,All causes,Other environmental risks,2005,88.90992895,58.6562618,15
Both,All causes,Unsafe sex,2005,87.88139486,76.14671419,16
Both,All causes,Childhood maltreatment,2005,81.43863122,81.52228465,17
Both,All causes,Intimate partner violence,2005,39.95997216,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",2005,7.004685806,6.437282067,19
Both,All causes,Tobacco,2006,2332.50713,1773.63312,1
Both,All causes,Dietary risks,2006,1694.224029,1338.474071,2
Both,All causes,High systolic blood pressure,2006,1522.180381,1079.722422,3
Both,All causes,High body-mass index,2006,1443.208084,1351.826614,4
Both,All causes,High fasting plasma glucose,2006,1024.804162,1099.055726,5
Both,All causes,Alcohol use,2006,954.1414235,890.2334383,6
Both,All causes,High LDL cholesterol,2006,835.9721317,580.3970841,7
Both,All causes,Child and maternal malnutrition,2006,822.1559057,701.1367344,8
Both,All causes,Occupational risks,2006,710.2998059,657.9045263,9
Both,All causes,Drug use,2006,543.8527021,571.9336293,10
Both,All causes,Air pollution,2006,535.2232925,421.8820538,11
Both,All causes,Impaired kidney function,2006,262.4814866,219.9578065,12
Both,All causes,Low physical activity,2006,229.7717975,171.9935665,13
Both,All causes,Low bone mineral density,2006,96.92225312,100.9625777,14
Both,All causes,Unsafe sex,2006,87.58735121,76.14671419,15
Both,All causes,Other environmental risks,2006,85.87524305,58.6562618,16
Both,All causes,Childhood maltreatment,2006,82.09753658,81.52228465,17
Both,All causes,Intimate partner violence,2006,39.82127984,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",2006,7.146089154,6.437282067,19
Both,All causes,Tobacco,2007,2231.744037,1773.63312,1
Both,All causes,Dietary risks,2007,1611.705049,1338.474071,2
Both,All causes,High systolic blood pressure,2007,1421.043058,1079.722422,3
Both,All causes,High body-mass index,2007,1413.045735,1351.826614,4
Both,All causes,High fasting plasma glucose,2007,1008.189536,1099.055726,5
Both,All causes,Alcohol use,2007,944.0665153,890.2334383,6
Both,All causes,Child and maternal malnutrition,2007,803.4834704,701.1367344,7
Both,All causes,High LDL cholesterol,2007,781.2030285,580.3970841,8
Both,All causes,Occupational risks,2007,700.0558444,657.9045263,9
Both,All causes,Drug use,2007,553.3832011,571.9336293,10
Both,All causes,Air pollution,2007,518.2759597,421.8820538,11
Both,All causes,Impaired kidney function,2007,253.4019798,219.9578065,12
Both,All causes,Low physical activity,2007,217.1588437,171.9935665,13
Both,All causes,Low bone mineral density,2007,97.09816786,100.9625777,14
Both,All causes,Unsafe sex,2007,86.7356646,76.14671419,15
Both,All causes,Childhood maltreatment,2007,82.97219549,81.52228465,16
Both,All causes,Other environmental risks,2007,81.33447516,58.6562618,17
Both,All causes,Intimate partner violence,2007,39.96720732,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",2007,7.167563695,6.437282067,19
Both,All causes,Tobacco,2008,2171.397254,1773.63312,1
Both,All causes,Dietary risks,2008,1570.884741,1338.474071,2
Both,All causes,High body-mass index,2008,1405.044694,1351.826614,3
Both,All causes,High systolic blood pressure,2008,1358.158184,1079.722422,4
Both,All causes,High fasting plasma glucose,2008,1010.127637,1099.055726,5
Both,All causes,Alcohol use,2008,944.0834395,890.2334383,6
Both,All causes,Child and maternal malnutrition,2008,786.3870876,701.1367344,7
Both,All causes,High LDL cholesterol,2008,750.4806633,580.3970841,8
Both,All causes,Occupational risks,2008,696.6310196,657.9045263,9
Both,All causes,Drug use,2008,567.3634487,571.9336293,10
Both,All causes,Air pollution,2008,512.1056011,421.8820538,11
Both,All causes,Impaired kidney function,2008,248.339887,219.9578065,12
Both,All causes,Low physical activity,2008,210.1741407,171.9935665,13
Both,All causes,Low bone mineral density,2008,97.83500842,100.9625777,14
Both,All causes,Unsafe sex,2008,87.20931047,76.14671419,15
Both,All causes,Childhood maltreatment,2008,84.18443091,81.52228465,16
Both,All causes,Other environmental risks,2008,78.43655329,58.6562618,17
Both,All causes,Intimate partner violence,2008,40.11336907,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",2008,7.161216985,6.437282067,19
Both,All causes,Tobacco,2009,2081.326563,1773.63312,1
Both,All causes,Dietary risks,2009,1500.194104,1338.474071,2
Both,All causes,High body-mass index,2009,1376.605843,1351.826614,3
Both,All causes,High systolic blood pressure,2009,1272.152791,1079.722422,4
Both,All causes,High fasting plasma glucose,2009,995.8786049,1099.055726,5
Both,All causes,Alcohol use,2009,928.2320193,890.2334383,6
Both,All causes,Child and maternal malnutrition,2009,776.9723984,701.1367344,7
Both,All causes,High LDL cholesterol,2009,703.6761184,580.3970841,8
Both,All causes,Occupational risks,2009,686.6804238,657.9045263,9
Both,All causes,Drug use,2009,567.7372545,571.9336293,10
Both,All causes,Air pollution,2009,495.3559912,421.8820538,11
Both,All causes,Impaired kidney function,2009,238.6790845,219.9578065,12
Both,All causes,Low physical activity,2009,198.4464787,171.9935665,13
Both,All causes,Low bone mineral density,2009,97.68326541,100.9625777,14
Both,All causes,Childhood maltreatment,2009,84.96571818,81.52228465,15
Both,All causes,Unsafe sex,2009,83.82751653,76.14671419,16
Both,All causes,Other environmental risks,2009,74.32492513,58.6562618,17
Both,All causes,Intimate partner violence,2009,40.16578177,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",2009,7.037073997,6.437282067,19
Both,All causes,Tobacco,2010,2016.678894,1773.63312,1
Both,All causes,Dietary risks,2010,1448.661902,1338.474071,2
Both,All causes,High body-mass index,2010,1358.835183,1351.826614,3
Both,All causes,High systolic blood pressure,2010,1208.414214,1079.722422,4
Both,All causes,High fasting plasma glucose,2010,988.9581685,1099.055726,5
Both,All causes,Alcohol use,2010,913.9881415,890.2334383,6
Both,All causes,Child and maternal malnutrition,2010,757.424188,701.1367344,7
Both,All causes,Occupational risks,2010,679.0039802,657.9045263,8
Both,All causes,High LDL cholesterol,2010,667.0262354,580.3970841,9
Both,All causes,Drug use,2010,563.2610189,571.9336293,10
Both,All causes,Air pollution,2010,482.5144022,421.8820538,11
Both,All causes,Impaired kidney function,2010,232.5192789,219.9578065,12
Both,All causes,Low physical activity,2010,190.0943609,171.9935665,13
Both,All causes,Low bone mineral density,2010,97.83024551,100.9625777,14
Both,All causes,Childhood maltreatment,2010,85.24139475,81.52228465,15
Both,All causes,Unsafe sex,2010,83.34095653,76.14671419,16
Both,All causes,Other environmental risks,2010,70.99052064,58.6562618,17
Both,All causes,Intimate partner violence,2010,40.02011982,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",2010,6.8710385,6.437282067,19
Both,All causes,Tobacco,2011,1942.062606,1773.63312,1
Both,All causes,Dietary risks,2011,1381.358005,1338.474071,2
Both,All causes,High body-mass index,2011,1329.951358,1351.826614,3
Both,All causes,High systolic blood pressure,2011,1137.445274,1079.722422,4
Both,All causes,High fasting plasma glucose,2011,976.0605046,1099.055726,5
Both,All causes,Alcohol use,2011,894.6179689,890.2334383,6
Both,All causes,Child and maternal malnutrition,2011,744.3710612,701.1367344,7
Both,All causes,Occupational risks,2011,669.4095572,657.9045263,8
Both,All causes,High LDL cholesterol,2011,625.688651,580.3970841,9
Both,All causes,Drug use,2011,552.3779755,571.9336293,10
Both,All causes,Air pollution,2011,477.7616937,421.8820538,11
Both,All causes,Impaired kidney function,2011,225.0610605,219.9578065,12
Both,All causes,Low physical activity,2011,180.0041679,171.9935665,13
Both,All causes,Low bone mineral density,2011,97.64601428,100.9625777,14
Both,All causes,Childhood maltreatment,2011,85.00147055,81.52228465,15
Both,All causes,Unsafe sex,2011,78.52025833,76.14671419,16
Both,All causes,Other environmental risks,2011,67.25524721,58.6562618,17
Both,All causes,Intimate partner violence,2011,39.63947242,39.43921031,18
Both,All causes,"Unsafe water, sanitation, and handwashing",2011,6.683962873,6.437282067,19
Both,All causes,Tobacco,2012,1883.153488,1773.63312,1
Both,All causes,Dietary risks,2012,1337.308738,1338.474071,2
Both,All causes,High body-mass index,2012,1313.289673,1351.826614,3
Both,All causes,High systolic blood pressure,2012,1092.394927,1079.722422,4
Both,All causes,High fasting plasma glucose,2012,978.8996676,1099.055726,5
Both,All causes,Alcohol use,2012,877.7409682,890.2334383,6
Both,All causes,Child and maternal malnutrition,2012,723.6213181,701.1367344,7
Both,All causes,Occupational risks,2012,662.5129333,657.9045263,8
