name,year,value,lastValue,rank
High LDL cholesterol,2011,369.5,346.9,10
Drug use,2011,315.5,335.2,11
Impaired kidney function,2011,197.2,200.9,12
Low physical activity,2011,133.9,130.4,13
Unsafe sex,2011,118.7,115.7,14
Low bone mineral density,2011,113.1,117.0,15
Childhood maltreatment,2011,94.5,94.1,16
Intimate partner violence,2011,78.9,79.0,17
Other environmental risks,2011,47.3,42.8,18
"Unsafe water, sanitation, and handwashing",2011,6.5,6.4,19
Tobacco,2012,1555.4,1420.3,1
High body-mass index,2012,1113.6,1152.9,2
Dietary risks,2012,920.2,928.8,3
High fasting plasma glucose,2012,791.9,899.5,4
High systolic blood pressure,2012,760.8,753.7,5
Child and maternal malnutrition,2012,743.6,715.7,6
Occupational risks,2012,451.0,457.7,7
Alcohol use,2012,431.5,440.5,8
High LDL cholesterol,2012,358.6,346.9,9
Air pollution,2012,358.2,342.6,10
Drug use,2012,316.7,335.2,11
Impaired kidney function,2012,196.2,200.9,12
Low physical activity,2012,131.1,130.4,13
Unsafe sex,2012,115.8,115.7,14
Low bone mineral density,2012,113.6,117.0,15
Childhood maltreatment,2012,94.5,94.1,16
Intimate partner violence,2012,78.7,79.0,17
Other environmental risks,2012,46.2,42.8,18
"Unsafe water, sanitation, and handwashing",2012,6.4,6.4,19
Tobacco,2013,1522.9,1420.3,1
High body-mass index,2013,1115.8,1152.9,2
Dietary risks,2013,912.4,928.8,3
High fasting plasma glucose,2013,806.4,899.5,4
High systolic blood pressure,2013,747.6,753.7,5
Child and maternal malnutrition,2013,728.7,715.7,6
Occupational risks,2013,452.3,457.7,7
Alcohol use,2013,433.1,440.5,8
Air pollution,2013,354.7,342.6,9
High LDL cholesterol,2013,351.4,346.9,10
Drug use,2013,322.6,335.2,11
Impaired kidney function,2013,196.5,200.9,12
Low physical activity,2013,129.4,130.4,13
Unsafe sex,2013,115.1,115.7,14
Low bone mineral density,2013,114.4,117.0,15
Childhood maltreatment,2013,94.7,94.1,16
Intimate partner violence,2013,78.6,79.0,17
Other environmental risks,2013,45.2,42.8,18
"Unsafe water, sanitation, and handwashing",2013,6.3,6.4,19
Tobacco,2014,1483.9,1420.3,1
High body-mass index,2014,1116.7,1152.9,2
Dietary risks,2014,901.3,928.8,3
High fasting plasma glucose,2014,820.3,899.5,4
High systolic blood pressure,2014,736.0,753.7,5
Child and maternal malnutrition,2014,723.1,715.7,6
Occupational risks,2014,452.2,457.7,7
Alcohol use,2014,434.9,440.5,8
High LDL cholesterol,2014,342.7,346.9,9
Air pollution,2014,339.0,342.6,10
Drug use,2014,329.5,335.2,11
Impaired kidney function,2014,196.3,200.9,12
Low physical activity,2014,127.0,130.4,13
Low bone mineral density,2014,115.2,117.0,14
Unsafe sex,2014,112.0,115.7,15
Childhood maltreatment,2014,94.8,94.1,16
Intimate partner violence,2014,78.5,79.0,17
Other environmental risks,2014,44.1,42.8,18
"Unsafe water, sanitation, and handwashing",2014,6.3,6.4,19
Tobacco,2015,1463.3,1420.3,1
High body-mass index,2015,1128.5,1152.9,2
Dietary risks,2015,908.7,928.8,3
High fasting plasma glucose,2015,846.1,899.5,4
High systolic blood pressure,2015,740.8,753.7,5
Child and maternal malnutrition,2015,723.2,715.7,6
Occupational risks,2015,454.2,457.7,7
Alcohol use,2015,435.3,440.5,8
High LDL cholesterol,2015,343.4,346.9,9
Air pollution,2015,342.2,342.6,10
Drug use,2015,334.0,335.2,11
Impaired kidney function,2015,199.0,200.9,12
Low physical activity,2015,127.9,130.4,13
Low bone mineral density,2015,116.3,117.0,14
Unsafe sex,2015,115.7,115.7,15
Childhood maltreatment,2015,94.6,94.1,16
Intimate partner violence,2015,79.1,79.0,17
Other environmental risks,2015,43.6,42.8,18
"Unsafe water, sanitation, and handwashing",2015,6.3,6.4,19
Tobacco,2016,1446.9,1420.3,1
High body-mass index,2016,1143.0,1152.9,2
Dietary risks,2016,917.3,928.8,3
High fasting plasma glucose,2016,872.6,899.5,4
High systolic blood pressure,2016,745.8,753.7,5
Child and maternal malnutrition,2016,716.0,715.7,6
Occupational risks,2016,456.8,457.7,7
Alcohol use,2016,440.9,440.5,8
High LDL cholesterol,2016,343.7,346.9,9
Air pollution,2016,341.5,342.6,10
Drug use,2016,337.1,335.2,11
Impaired kidney function,2016,200.4,200.9,12
Low physical activity,2016,128.7,130.4,13
Low bone mineral density,2016,117.0,117.0,14
Unsafe sex,2016,114.5,115.7,15
Childhood maltreatment,2016,94.5,94.1,16
Intimate partner violence,2016,78.8,79.0,17
Other environmental risks,2016,43.3,42.8,18
"Unsafe water, sanitation, and handwashing",2016,6.4,6.4,19
Tobacco,2017,1420.3,1420.3,1
High body-mass index,2017,1152.9,1152.9,2
Dietary risks,2017,928.8,928.8,3
High fasting plasma glucose,2017,899.5,899.5,4
High systolic blood pressure,2017,753.7,753.7,5
Child and maternal malnutrition,2017,715.7,715.7,6
Occupational risks,2017,457.7,457.7,7
Alcohol use,2017,440.5,440.5,8
High LDL cholesterol,2017,346.9,346.9,9
Air pollution,2017,342.6,342.6,10
Drug use,2017,335.2,335.2,11
Impaired kidney function,2017,200.9,200.9,12
Low physical activity,2017,130.4,130.4,13
Low bone mineral density,2017,117.0,117.0,14
Unsafe sex,2017,115.7,115.7,15
Childhood maltreatment,2017,94.1,94.1,16
Intimate partner violence,2017,79.0,79.0,17
Other environmental risks,2017,42.8,42.8,18
"Unsafe water, sanitation, and handwashing",2017,6.4,6.4,19
